TMJ_1990_163_193/27.png:   PNG image data, 4092 x 6075, 8-bit/color RGB, non-interlaced
MA_1970_26_38/13.png:      PNG image data, 3089 x 4845, 8-bit/color RGB, non-interlaced
MA_1970_26_38/11.png:      PNG image data, 3089 x 4845, 8-bit/color RGB, non-interlaced
MA_1970_26_38/12.png:      PNG image data, 3089 x 4853, 8-bit/color RGB, non-interlaced
MA_1970_26_38/1.png:       PNG image data, 3081 x 4845, 8-bit/color RGB, non-interlaced
MA_1970_26_38/8.png:       PNG image data, 3089 x 4853, 8-bit/color RGB, non-interlaced
MA_1970_26_38/3.png:       PNG image data, 3089 x 4845, 8-bit/color RGB, non-interlaced
MA_1970_26_38/6.png:       PNG image data, 3081 x 4853, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/27.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/26.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/16.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/23.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/7.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/10.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/5.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/2.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/25.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/17.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/22.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/18.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/21.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/24.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/9.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/14.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/20.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/4.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/13.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/19.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/11.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/12.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/1.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/8.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/15.png:   PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/3.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
ActaM_1970_37_63/6.png:    PNG image data, 5175 x 6942, 8-bit/color RGB, non-interlaced
MA_1977_275_292/16.png:    PNG image data, 3384 x 5368, 8-bit/color RGB, non-interlaced
MA_1977_275_292/7.png:     PNG image data, 3424 x 5392, 8-bit/color RGB, non-interlaced
MA_1977_275_292/10.png:    PNG image data, 3384 x 5368, 8-bit/color RGB, non-interlaced
MA_1977_275_292/5.png:     PNG image data, 3441 x 5400, 8-bit/color RGB, non-interlaced
MA_1977_275_292/2.png:     PNG image data, 3384 x 5368, 8-bit/color RGB, non-interlaced
MA_1977_275_292/17.png:    PNG image data, 3441 x 5400, 8-bit/color RGB, non-interlaced
MA_1977_275_292/18.png:    PNG image data, 3416 x 5385, 8-bit/color RGB, non-interlaced
MA_1977_275_292/9.png:     PNG image data, 3433 x 5400, 8-bit/color RGB, non-interlaced
MA_1977_275_292/14.png:    PNG image data, 3384 x 5368, 8-bit/color RGB, non-interlaced
MA_1977_275_292/4.png:     PNG image data, 3384 x 5368, 8-bit/color RGB, non-interlaced
MA_1977_275_292/13.png:    PNG image data, 3433 x 5400, 8-bit/color RGB, non-interlaced
MA_1977_275_292/11.png:    PNG image data, 3416 x 5385, 8-bit/color RGB, non-interlaced
MA_1977_275_292/12.png:    PNG image data, 3416 x 5385, 8-bit/color RGB, non-interlaced
MA_1977_275_292/1.png:     PNG image data, 3456 x 5408, 8-bit/color RGB, non-interlaced
MA_1977_275_292/8.png:     PNG image data, 3384 x 5368, 8-bit/color RGB, non-interlaced
MA_1977_275_292/15.png:    PNG image data, 3433 x 5392, 8-bit/color RGB, non-interlaced
MA_1977_275_292/3.png:     PNG image data, 3416 x 5392, 8-bit/color RGB, non-interlaced
MA_1977_275_292/6.png:     PNG image data, 3384 x 5368, 8-bit/color RGB, non-interlaced
Kontsevich94/27.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/31.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/26.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/34.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/39.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/16.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/23.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/29.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/38.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/7.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/10.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/5.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/2.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/25.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/17.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/22.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/18.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/21.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/37.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/24.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/41.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/42.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/9.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/14.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/28.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/32.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/35.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/33.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/20.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/36.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/4.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/13.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/19.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/11.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/12.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/1.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/30.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/8.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/40.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/43.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/15.png:       PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/3.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kontsevich94/6.png:        PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_2/2.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_2/4.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_2/1.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_2/3.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_3/2.png:    PNG image data, 3609 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_3/4.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_3/1.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
BAMS_1971_1974_3/3.png:    PNG image data, 3601 x 5700, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/16.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/7.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/10.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/5.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/2.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/17.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/18.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/9.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/14.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/4.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/13.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/19.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/11.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/12.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/1.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/8.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/15.png:  PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/3.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
InvM_1999_163_181/6.png:   PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
JMKU_1971_373_375/2.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_373_375/1.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
JMKU_1971_373_375/3.png:   PNG image data, 4288 x 6065, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/16.png:     PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/7.png:      PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/10.png:     PNG image data, 4389 x 6143, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/5.png:      PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/2.png:      PNG image data, 4380 x 6137, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/17.png:     PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/18.png:     PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/9.png:      PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/14.png:     PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/20.png:     PNG image data, 4380 x 6137, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/4.png:      PNG image data, 4370 x 6130, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/13.png:     PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/19.png:     PNG image data, 4337 x 6107, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/11.png:     PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/12.png:     PNG image data, 4366 x 6128, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/1.png:      PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/8.png:      PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/15.png:     PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/3.png:      PNG image data, 4299 x 6081, 8-bit/color RGB, non-interlaced
KJM_1999_17_36/6.png:      PNG image data, 4359 x 6121, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/16.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/7.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/10.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/5.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/2.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/17.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/18.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/9.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/14.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/20.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/4.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/13.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/19.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/11.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/12.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/1.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/8.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/15.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/3.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
AnnM_1970_550_569/6.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
JMS_1975_281_288/7.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_281_288/5.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_281_288/2.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_281_288/4.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_281_288/1.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_281_288/8.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_281_288/3.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
JMS_1975_281_288/6.png:    PNG image data, 4961 x 7016, 8-bit/color RGB, non-interlaced
Brezis83/5.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Brezis83/2.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Brezis83/4.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Brezis83/1.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Brezis83/3.png:            PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
TMJ_1973_333_338/5.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_333_338/2.png:    PNG image data, 4142 x 6084, 8-bit/color RGB, non-interlaced
TMJ_1973_333_338/4.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_333_338/1.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_333_338/3.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
TMJ_1973_333_338/6.png:    PNG image data, 4125 x 6075, 8-bit/color RGB, non-interlaced
Kazhdan79/16.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/7.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/10.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/5.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/2.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/17.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/18.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/9.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/14.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/20.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/4.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/13.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/19.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/11.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/12.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/1.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/8.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/15.png:          PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/3.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
Kazhdan79/6.png:           PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/16.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/7.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/10.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/5.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/2.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/17.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/18.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/21.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/9.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/14.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/20.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/4.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/13.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/19.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/11.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/12.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/1.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/8.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/15.png:  PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/3.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
BAMS_1998_123_143/6.png:   PNG image data, 5100 x 6601, 8-bit/color RGB, non-interlaced
MA_1999_175_196/16.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/7.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/10.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/5.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/2.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/17.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/22.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/18.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/21.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/9.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/14.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/20.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/4.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/13.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/19.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/11.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/12.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/1.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/8.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/15.png:    PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/3.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
MA_1999_175_196/6.png:     PNG image data, 4959 x 7017, 8-bit/color RGB, non-interlaced
Lorentz48/16.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
Lorentz48/23.png:          PNG image data, 5325 x 7126, 8-bit/color RGB, non-interlaced
